City,State,Hotel_ID,Hotel_Name,Country
Varanasi,Uttar Pradesh,2008644,Ashiyana Guest House,India
Varanasi,Uttar Pradesh,544991,Rivatas By Ideal,India
Varanasi,Uttar Pradesh,2132077,Hotel Tridev,India
Varanasi,Uttar Pradesh,2892687,OYO 10338 Hotel Aadesh Palace,India
Varanasi,Uttar Pradesh,1611384,The Land Mark,India
Varanasi,Uttar Pradesh,2671424,Hotel Gateway Kailash,India
Varanasi,Uttar Pradesh,2701029,Travelling Troopers Homestay,India
Varanasi,Uttar Pradesh,546507,Hotel Siddharth,India
Varanasi,Uttar Pradesh,2829931,Golden River,India
Varanasi,Uttar Pradesh,2328271,Vatika Homestay,India
Varanasi,Uttar Pradesh,1526206,The Yogahouse,India
Varanasi,Uttar Pradesh,2761649,Namaste Paying Guest House,India
Varanasi,Uttar Pradesh,2638867,Bliss Paying Guest House,India
Varanasi,Uttar Pradesh,1829626,OYO 4009 Hotel HKJ Palace,India
Varanasi,Uttar Pradesh,444873,Hotel Heritage Inn,India
Agra,Uttar Pradesh,2472372,Hotel Pearl Blue,India
Agra,Uttar Pradesh,268396,Hotel Taj Resorts,India
Agra,Uttar Pradesh,2049296,OYO 6072 Aaradhya residency,India
Agra,Uttar Pradesh,2756908,OYO Rooms Fatehbad Road,India
Agra,Uttar Pradesh,2675073,Hotel Navneet Grand @ Western Gate,India
Agra,Uttar Pradesh,76741,Trident Agra,India
Agra,Uttar Pradesh,2763284,Thomas Home Stay,India
Agra,Uttar Pradesh,2649538,Safarnama Agra,India
Agra,Uttar Pradesh,78801,The Oberoi Amarvilas Agra,India
Agra,Uttar Pradesh,425976,Radisson Blu Agra Taj East Gate,India
Agra,Uttar Pradesh,1829089,OYO 4012 Hotel Avalon Taj Agra,India
Agra,Uttar Pradesh,1955332,The Coral Court Homestay,India
Agra,Uttar Pradesh,471587,ITC Mughal A Luxury Collection Hotel Agra,India
Agra,Uttar Pradesh,475226,Aman Homestay,India
Agra,Uttar Pradesh,74747,The Gateway Hotel Fatehabad Agra,India
Pondicherry,Pondicherry,390367,Accord Puducherry,India
Udaipur,Udaipur District ,2892673,OYO 10176 Hotel Bluebell,India
Pondicherry,Pondicherry,2987191,OYO Home 10912 Elegant 2BHK Paradise Beach,India
Pondicherry,Pondicherry,2983290,OYO Home 9785 Spacious 3BHK Rock Beach,India
